CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485509: funcgraph_entry:                   |                      hv_std_hypercall() {
      lazy_alloc-31612 [004] 34326.485512: funcgraph_entry:        0.431 us   |                        irq_enter_rcu();
      lazy_alloc-31612 [004] 34326.485512: funcgraph_entry:                   |                        __sysvec_irq_work() {
      lazy_alloc-31612 [004] 34326.485513: funcgraph_entry:                   |                          __wake_up() {
      lazy_alloc-31612 [004] 34326.485513: funcgraph_entry:        0.094 us   |                            _raw_spin_lock_irqsave();
      lazy_alloc-31612 [004] 34326.485513: funcgraph_entry:        0.111 us   |                            __wake_up_common();
      lazy_alloc-31612 [004] 34326.485513: funcgraph_entry:        0.108 us   |                            _raw_spin_unlock_irqrestore();
      lazy_alloc-31612 [004] 34326.485513: funcgraph_exit:         0.738 us   |                          }
      lazy_alloc-31612 [004] 34326.485514: funcgraph_entry:        0.087 us   |                          _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485514: funcgraph_entry:        0.090 us   |                          _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485514: funcgraph_entry:                   |                          __wake_up() {
      lazy_alloc-31612 [004] 34326.485514: funcgraph_entry:        0.088 us   |                            _raw_spin_lock_irqsave();
      lazy_alloc-31612 [004] 34326.485514: funcgraph_entry:                   |                            __wake_up_common() {
      lazy_alloc-31612 [004] 34326.485515: funcgraph_entry:                   |                              autoremove_wake_function() {
      lazy_alloc-31612 [004] 34326.485515: funcgraph_entry:                   |                                default_wake_function() {
      lazy_alloc-31612 [004] 34326.485515: funcgraph_entry:                   |                                  try_to_wake_up() {
      lazy_alloc-31612 [004] 34326.485515: funcgraph_entry:        0.253 us   |                                    _raw_spin_lock_irqsave();
      lazy_alloc-31612 [004] 34326.485516: funcgraph_entry:                   |                                    select_task_rq_fair() {
      lazy_alloc-31612 [004] 34326.485516: funcgraph_entry:        0.089 us   |                                      __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485516: funcgraph_entry:        0.109 us   |                                      available_idle_cpu();
      lazy_alloc-31612 [004] 34326.485516: funcgraph_entry:                   |                                      available_idle_cpu() {
      lazy_alloc-31612 [004] 34326.485516: funcgraph_entry:        0.083 us   |                                        hv_vcpu_is_preempted();
      lazy_alloc-31612 [004] 34326.485517: funcgraph_exit:         0.359 us   |                                      }
      lazy_alloc-31612 [004] 34326.485517: funcgraph_entry:                   |                                      available_idle_cpu() {
      lazy_alloc-31612 [004] 34326.485517: funcgraph_entry:        0.084 us   |                                        hv_vcpu_is_preempted();
      lazy_alloc-31612 [004] 34326.485517: funcgraph_exit:         0.277 us   |                                      }
      lazy_alloc-31612 [004] 34326.485517: funcgraph_entry:        0.082 us   |                                      __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485517: funcgraph_exit:         1.793 us   |                                    }
      lazy_alloc-31612 [004] 34326.485517: funcgraph_entry:                   |                                    ttwu_queue_wakelist() {
      lazy_alloc-31612 [004] 34326.485518: funcgraph_entry:                   |                                      __smp_call_single_queue() {
      lazy_alloc-31612 [004] 34326.485518: funcgraph_entry:        0.220 us   |                                        call_function_single_prep_ipi();
      lazy_alloc-31612 [004] 34326.485518: funcgraph_entry:                   |                                        native_send_call_func_single_ipi() {
      lazy_alloc-31612 [004] 34326.485518: funcgraph_entry:                   |                                          hv_send_ipi() {
      lazy_alloc-31612 [004] 34326.485518: funcgraph_entry:                   |                                            __send_ipi_one() {
      lazy_alloc-31612 [004] 34326.485519: funcgraph_entry:      + 16.987 us  |                                              hv_std_hypercall();
      lazy_alloc-31612 [004] 34326.485536: funcgraph_exit:       + 17.294 us  |                                            }
      lazy_alloc-31612 [004] 34326.485536: funcgraph_exit:       + 17.489 us  |                                          }
      lazy_alloc-31612 [004] 34326.485536: funcgraph_exit:       + 17.695 us  |                                        }
      lazy_alloc-31612 [004] 34326.485536: funcgraph_exit:       + 18.466 us  |                                      }
      lazy_alloc-31612 [004] 34326.485536: funcgraph_exit:       + 18.830 us  |                                    }
      lazy_alloc-31612 [004] 34326.485536: funcgraph_entry:        0.102 us   |                                    _raw_spin_unlock_irqrestore();
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 21.773 us  |                                  }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 21.986 us  |                                }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 22.224 us  |                              }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 22.676 us  |                            }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_entry:        0.088 us   |                            _raw_spin_unlock_irqrestore();
